ALERT_ID,ACCOUNT_ID,CUSTOMER_ID,EVENT_DATE,ALERT_TYPE,ACCOUNT_TYPE,IS_SAR
10,1303,C_1303,20170327,fan_out,INDIVIDUAL,YES
10,325,C_325,20170328,fan_out,INDIVIDUAL,YES
11,143,C_143,20170214,fan_out,INDIVIDUAL,YES
11,3248,C_3248,20170214,fan_out,INDIVIDUAL,YES
11,4272,C_4272,20171029,fan_out,INDIVIDUAL,YES
11,905,C_905,20180211,fan_out,INDIVIDUAL,YES
11,5693,C_5693,20180414,fan_out,INDIVIDUAL,YES
12,144,C_144,20170507,fan_out,INDIVIDUAL,YES
12,5261,C_5261,20170507,fan_out,INDIVIDUAL,YES
12,50,C_50,20170705,fan_out,INDIVIDUAL,YES
12,4145,C_4145,20170731,fan_out,INDIVIDUAL,YES
12,2319,C_2319,20170917,fan_out,INDIVIDUAL,YES
13,128,C_128,20170113,fan_out,INDIVIDUAL,YES
13,3359,C_3359,20170113,fan_out,INDIVIDUAL,YES
13,7478,C_7478,20170316,fan_out,INDIVIDUAL,YES
13,7484,C_7484,20170429,fan_out,INDIVIDUAL,YES
13,4699,C_4699,20170511,fan_out,INDIVIDUAL,YES
13,2571,C_2571,20170531,fan_out,INDIVIDUAL,YES
13,4147,C_4147,20170616,fan_out,INDIVIDUAL,YES
14,48,C_48,20170302,fan_out,INDIVIDUAL,YES
14,1675,C_1675,20170302,fan_out,INDIVIDUAL,YES
14,3141,C_3141,20170317,fan_out,INDIVIDUAL,YES
14,2804,C_2804,20180123,fan_out,INDIVIDUAL,YES
14,1407,C_1407,20180531,fan_out,INDIVIDUAL,YES
15,153,C_153,20170122,fan_out,INDIVIDUAL,YES
15,1643,C_1643,20170122,fan_out,INDIVIDUAL,YES
15,6565,C_6565,20170225,fan_out,INDIVIDUAL,YES
15,3087,C_3087,20170322,fan_out,INDIVIDUAL,YES
15,4206,C_4206,20170520,fan_out,INDIVIDUAL,YES
15,3062,C_3062,20170601,fan_out,INDIVIDUAL,YES
15,5904,C_5904,20170817,fan_out,INDIVIDUAL,YES
31,171,C_171,20180909,cycle,INDIVIDUAL,YES
31,5290,C_5290,20180909,cycle,INDIVIDUAL,YES
31,4568,C_4568,20180912,cycle,INDIVIDUAL,YES
31,5046,C_5046,20180912,cycle,INDIVIDUAL,YES
31,6669,C_6669,20180914,cycle,INDIVIDUAL,YES
31,1332,C_1332,20180916,cycle,INDIVIDUAL,YES
31,7571,C_7571,20180917,cycle,INDIVIDUAL,YES
32,56,C_56,20170816,cycle,INDIVIDUAL,YES
32,5284,C_5284,20170816,cycle,INDIVIDUAL,YES
32,7354,C_7354,20170819,cycle,INDIVIDUAL,YES
32,4775,C_4775,20170820,cycle,INDIVIDUAL,YES
32,2252,C_2252,20170827,cycle,INDIVIDUAL,YES
33,142,C_142,20170120,cycle,INDIVIDUAL,YES
33,3515,C_3515,20170120,cycle,INDIVIDUAL,YES
33,3658,C_3658,20170124,cycle,INDIVIDUAL,YES
33,4173,C_4173,20170124,cycle,INDIVIDUAL,YES
33,4803,C_4803,20170124,cycle,INDIVIDUAL,YES
33,3853,C_3853,20170129,cycle,INDIVIDUAL,YES
33,1369,C_1369,20170201,cycle,INDIVIDUAL,YES
34,116,C_116,20180908,cycle,INDIVIDUAL,YES
34,5735,C_5735,20180908,cycle,INDIVIDUAL,YES
34,2554,C_2554,20180908,cycle,INDIVIDUAL,YES
34,3439,C_3439,20180915,cycle,INDIVIDUAL,YES
34,159,C_159,20180915,cycle,INDIVIDUAL,YES
34,1076,C_1076,20180922,cycle,INDIVIDUAL,YES
35,179,C_179,20171129,cycle,INDIVIDUAL,YES
35,316,C_316,20171129,cycle,INDIVIDUAL,YES
35,4323,C_4323,20171130,cycle,INDIVIDUAL,YES
35,3725,C_3725,20171130,cycle,INDIVIDUAL,YES
35,3169,C_3169,20171130,cycle,INDIVIDUAL,YES
35,4456,C_4456,20171130,cycle,INDIVIDUAL,YES
35,1141,C_1141,20171212,cycle,INDIVIDUAL,YES
36,109,C_109,20170219,cycle,INDIVIDUAL,YES
36,3368,C_3368,20170219,cycle,INDIVIDUAL,YES
36,7285,C_7285,20170219,cycle,INDIVIDUAL,YES
36,1725,C_1725,20170219,cycle,INDIVIDUAL,YES
36,6151,C_6151,20170222,cycle,INDIVIDUAL,YES
36,7569,C_7569,20170225,cycle,INDIVIDUAL,YES
36,7845,C_7845,20170228,cycle,INDIVIDUAL,YES
37,152,C_152,20170707,cycle,INDIVIDUAL,YES
37,2026,C_2026,20170707,cycle,INDIVIDUAL,YES
37,650,C_650,20170709,cycle,INDIVIDUAL,YES
37,6338,C_6338,20170709,cycle,INDIVIDUAL,YES
37,1284,C_1284,20170711,cycle,INDIVIDUAL,YES
37,7726,C_7726,20170711,cycle,INDIVIDUAL,YES
37,992,C_992,20170718,cycle,INDIVIDUAL,YES
38,17,C_17,20171109,cycle,INDIVIDUAL,YES
38,7725,C_7725,20171109,cycle,INDIVIDUAL,YES
38,6465,C_6465,20171113,cycle,INDIVIDUAL,YES
38,5529,C_5529,20171114,cycle,INDIVIDUAL,YES
38,5620,C_5620,20171114,cycle,INDIVIDUAL,YES
38,720,C_720,20171116,cycle,INDIVIDUAL,YES
38,3310,C_3310,20171117,cycle,INDIVIDUAL,YES
38,407,C_407,20171121,cycle,INDIVIDUAL,YES
39,145,C_145,20180324,cycle,INDIVIDUAL,YES
39,441,C_441,20180324,cycle,INDIVIDUAL,YES
39,2374,C_2374,20180324,cycle,INDIVIDUAL,YES
39,1611,C_1611,20180328,cycle,INDIVIDUAL,YES
39,7247,C_7247,20180328,cycle,INDIVIDUAL,YES
40,131,C_131,20180817,scatter_gather,INDIVIDUAL,YES
40,7922,C_7922,20180817,scatter_gather,INDIVIDUAL,YES
40,4171,C_4171,20180817,scatter_gather,INDIVIDUAL,YES
40,5108,C_5108,20180818,scatter_gather,INDIVIDUAL,YES
40,7696,C_7696,20180818,scatter_gather,INDIVIDUAL,YES
40,2828,C_2828,20180819,scatter_gather,INDIVIDUAL,YES
40,1567,C_1567,20180821,scatter_gather,INDIVIDUAL,YES
40,5522,C_5522,20180822,scatter_gather,INDIVIDUAL,YES
40,1771,C_1771,20180824,scatter_gather,INDIVIDUAL,YES
41,6255,C_6255,20170909,scatter_gather,INDIVIDUAL,YES
41,2919,C_2919,20170909,scatter_gather,INDIVIDUAL,YES
41,2266,C_2266,20170910,scatter_gather,INDIVIDUAL,YES
41,4675,C_4675,20170910,scatter_gather,INDIVIDUAL,YES
41,7980,C_7980,20170910,scatter_gather,INDIVIDUAL,YES
41,4373,C_4373,20170912,scatter_gather,INDIVIDUAL,YES
41,5883,C_5883,20170924,scatter_gather,INDIVIDUAL,YES
42,3822,C_3822,20170520,scatter_gather,INDIVIDUAL,YES
42,6304,C_6304,20170520,scatter_gather,INDIVIDUAL,YES
42,5173,C_5173,20170520,scatter_gather,INDIVIDUAL,YES
42,5682,C_5682,20170520,scatter_gather,INDIVIDUAL,YES
42,4252,C_4252,20170520,scatter_gather,INDIVIDUAL,YES
42,5684,C_5684,20170520,scatter_gather,INDIVIDUAL,YES
42,4402,C_4402,20170522,scatter_gather,INDIVIDUAL,YES
42,2265,C_2265,20170522,scatter_gather,INDIVIDUAL,YES
42,7904,C_7904,20170522,scatter_gather,INDIVIDUAL,YES
42,2581,C_2581,20170522,scatter_gather,INDIVIDUAL,YES
42,7539,C_7539,20170523,scatter_gather,INDIVIDUAL,YES
42,6081,C_6081,20170523,scatter_gather,INDIVIDUAL,YES
42,603,C_603,20170525,scatter_gather,INDIVIDUAL,YES
43,7677,C_7677,20170301,scatter_gather,INDIVIDUAL,YES
43,6130,C_6130,20170301,scatter_gather,INDIVIDUAL,YES
43,4701,C_4701,20170301,scatter_gather,INDIVIDUAL,YES
43,1317,C_1317,20170304,scatter_gather,INDIVIDUAL,YES
43,6000,C_6000,20170305,scatter_gather,INDIVIDUAL,YES
43,2180,C_2180,20170305,scatter_gather,INDIVIDUAL,YES
43,4465,C_4465,20170306,scatter_gather,INDIVIDUAL,YES
43,6749,C_6749,20170307,scatter_gather,INDIVIDUAL,YES
43,7337,C_7337,20170310,scatter_gather,INDIVIDUAL,YES
44,4577,C_4577,20180812,scatter_gather,INDIVIDUAL,YES
44,7800,C_7800,20180812,scatter_gather,INDIVIDUAL,YES
44,5799,C_5799,20180814,scatter_gather,INDIVIDUAL,YES
44,5510,C_5510,20180815,scatter_gather,INDIVIDUAL,YES
44,7318,C_7318,20180815,scatter_gather,INDIVIDUAL,YES
44,1936,C_1936,20180815,scatter_gather,INDIVIDUAL,YES
44,3408,C_3408,20180816,scatter_gather,INDIVIDUAL,YES
44,412,C_412,20180816,scatter_gather,INDIVIDUAL,YES
44,2487,C_2487,20180816,scatter_gather,INDIVIDUAL,YES
44,652,C_652,20180816,scatter_gather,INDIVIDUAL,YES
44,5626,C_5626,20180816,scatter_gather,INDIVIDUAL,YES
44,5887,C_5887,20180818,scatter_gather,INDIVIDUAL,YES
45,5912,C_5912,20180528,gather_scatter,INDIVIDUAL,YES
45,7534,C_7534,20180528,gather_scatter,INDIVIDUAL,YES
45,4938,C_4938,20180528,gather_scatter,INDIVIDUAL,YES
45,5879,C_5879,20180609,gather_scatter,INDIVIDUAL,YES
45,372,C_372,20180609,gather_scatter,INDIVIDUAL,YES
45,1897,C_1897,20180615,gather_scatter,INDIVIDUAL,YES
46,2843,C_2843,20171028,gather_scatter,INDIVIDUAL,YES
46,7059,C_7059,20171028,gather_scatter,INDIVIDUAL,YES
46,3863,C_3863,20171031,gather_scatter,INDIVIDUAL,YES
46,3673,C_3673,20171101,gather_scatter,INDIVIDUAL,YES
46,4310,C_4310,20171102,gather_scatter,INDIVIDUAL,YES
46,6109,C_6109,20171103,gather_scatter,INDIVIDUAL,YES
46,3815,C_3815,20171107,gather_scatter,INDIVIDUAL,YES
46,1045,C_1045,20171108,gather_scatter,INDIVIDUAL,YES
46,5689,C_5689,20171111,gather_scatter,INDIVIDUAL,YES
46,2183,C_2183,20171113,gather_scatter,INDIVIDUAL,YES
46,6037,C_6037,20171114,gather_scatter,INDIVIDUAL,YES
47,5592,C_5592,20171230,gather_scatter,INDIVIDUAL,YES
47,6597,C_6597,20171230,gather_scatter,INDIVIDUAL,YES
47,7676,C_7676,20171230,gather_scatter,INDIVIDUAL,YES
47,368,C_368,20171231,gather_scatter,INDIVIDUAL,YES
47,98,C_98,20180104,gather_scatter,INDIVIDUAL,YES
47,7942,C_7942,20180106,gather_scatter,INDIVIDUAL,YES
47,7134,C_7134,20180107,gather_scatter,INDIVIDUAL,YES
47,3357,C_3357,20180109,gather_scatter,INDIVIDUAL,YES
47,998,C_998,20180112,gather_scatter,INDIVIDUAL,YES
48,2707,C_2707,20170815,gather_scatter,INDIVIDUAL,YES
48,6467,C_6467,20170815,gather_scatter,INDIVIDUAL,YES
48,2512,C_2512,20170817,gather_scatter,INDIVIDUAL,YES
48,1693,C_1693,20170818,gather_scatter,INDIVIDUAL,YES
48,1371,C_1371,20170828,gather_scatter,INDIVIDUAL,YES
48,3529,C_3529,20170829,gather_scatter,INDIVIDUAL,YES
48,1914,C_1914,20170831,gather_scatter,INDIVIDUAL,YES
49,917,C_917,20171231,gather_scatter,INDIVIDUAL,YES
49,5528,C_5528,20171231,gather_scatter,INDIVIDUAL,YES
49,6027,C_6027,20180101,gather_scatter,INDIVIDUAL,YES
49,5642,C_5642,20180102,gather_scatter,INDIVIDUAL,YES
49,6349,C_6349,20180105,gather_scatter,INDIVIDUAL,YES
49,8010,C_8010,20180106,gather_scatter,INDIVIDUAL,YES
49,7644,C_7644,20180109,gather_scatter,INDIVIDUAL,YES
